,Url,Job Title,Post Date,Job Type,Location,Experience
0,https://careers.huntington.com/en-US/job/J3V2NR6JL1JZ790D36L,Decision Engine Analyst ,1/22/2019,Full-Time,Columbus,Not Specified
1,https://careers.huntington.com/en-US/job/J3M3D96SKFT19V8D8RW,Branch Relationship Banker I ,2/2/2019,Full-Time,Gahanna,Not Specified
2,https://careers.huntington.com/en-US/job/J3P77Q72212CX89R15F,Enterprise Data Services Data Alignment Manager ,2/2/2019,Full-Time,Columbus,Not Specified
3,https://careers.huntington.com/en-US/job/J3W7J55XPMT7P0N9LWP,Programmer/Analyst Senior ,2/2/2019,Full-Time,Columbus,Not Specified
4,https://careers.huntington.com/en-US/job/J3S62S632B0XF1BQVJ7,Data Warehouse Director ,2/2/2019,Full-Time,Columbus,Not Specified
5,https://careers.huntington.com/en-US/job/J3R14B6GX79LDM9N7CT,Enterprise Data Community of Practice Leader ,2/2/2019,Full-Time,Columbus,Not Specified
6,https://careers.huntington.com/en-US/job/J3S8FW76MPNPZHSSNX2,Information Governance Director ,2/2/2019,Full-Time,Columbus,Not Specified
7,https://careers.huntington.com/en-US/job/J3R5VX6J287W5YWLTN0,Business Analyst 2 ,2/2/2019,Full-Time,Columbus,Not Specified
8,https://careers.huntington.com/en-US/job/J3N1H16YSHQ7JRYVD52,Outbound Sales Team Lead ,2/2/2019,Full-Time,Columbus,Not Specified
9,https://careers.huntington.com/en-US/job/J3V3PX6FQCSLKT9BMC9,Branch Manager ,2/2/2019,Full-Time,Wadsworth,Not Specified
10,https://careers.huntington.com/en-US/job/J3V5TS6RYYHQG0SXY47,Senior Business Data Analyst ,2/2/2019,Full-Time,Bloomfield Hills,Not Specified
11,https://careers.huntington.com/en-US/job/J3V30D783BRTD1FXVQ0,Enterprise Data Services Demand and Project Management Lead ,2/2/2019,Full-Time,Columbus,Not Specified
12,https://careers.huntington.com/en-US/job/J3W3YY5Z9SL3NCVXSW6,Mortgage Loan Officer - Southfield Towne Square ,2/2/2019,Full-Time,Southfield,Not Specified
13,https://careers.huntington.com/en-US/job/J3V60V689MT1LQ6C7ND,Senior COBOL Developer ,2/2/2019,Full-Time,Columbus,Not Specified
14,https://careers.huntington.com/en-US/job/J3M06T6JCZTWQZQHTRV,Wealth and Investment Relationship Manager ,2/2/2019,Full-Time,Columbus,Not Specified
15,https://careers.huntington.com/en-US/job/J3P899653SC52NNVR9K,Advanced Life Sales Executive ,2/1/2019,Full-Time,Bloomfield Hills,Not Specified
16,https://careers.huntington.com/en-US/job/J3W5026LF19Z4M6X6VT,Teller ,2/1/2019,Part-Time,Beaver Falls,Not Specified
17,https://careers.huntington.com/en-US/job/J3R1TW65JTGKDKR2TRK,Data Architect ,2/1/2019,Full-Time,Columbus,Not Specified
18,https://careers.huntington.com/en-US/job/J3R4CN6WRKCLXWGKMCY,Insurance Account Relationship Representative ,2/1/2019,Full-Time,Columbus,Not Specified
19,https://careers.huntington.com/en-US/job/J3M5LZ6SJ6RLTQQS6YM,Branch Relationship Banker 1 ,2/1/2019,Full-Time,Columbiana,Not Specified
20,https://careers.huntington.com/en-US/job/J3V5SK6D4CRVBVVHG53,Modeling Analyst ,2/1/2019,Full-Time,Columbus,Not Specified
21,https://careers.huntington.com/en-US/job/J3N2DX6FR50LTX3SV6M,Property and Casualty Sr. Insurance Sales Executive ,2/1/2019,Full-Time,Chicago,Not Specified
22,https://careers.huntington.com/en-US/job/J3S0Y66WWYZNPCYKWFZ,Retail Relationship Manager ,2/1/2019,Full-Time,Westwood,Not Specified
23,https://careers.huntington.com/en-US/job/J3W71D73V6NFBF48XRR,Branch Relationship Banker II ,2/1/2019,Full-Time,Youngstown,Not Specified
24,https://careers.huntington.com/en-US/job/J3Q6C46773WW3DRMQYC,Data Technology Director ,2/1/2019,Full-Time,Columbus,Not Specified
25,https://careers.huntington.com/en-US/job/J3S7YS5YV3D4G6L30F3,Computer Forensic Analyst ,2/1/2019,Full-Time,Columbus,Not Specified
26,https://careers.huntington.com/en-US/job/J3P7GK6FPK8PFGJJWXL,Senior Project Manager ,2/1/2019,Full-Time,Columbus,Not Specified
27,https://careers.huntington.com/en-US/job/J3W1DZ61N0LM0H4BH6V,Branch Service Manager ,2/1/2019,Full-Time,Cincinnati,Not Specified
28,https://careers.huntington.com/en-US/job/J3Q00W5YD7ZT49G8VN0,Regional Credit Admin Manager ,2/1/2019,Full-Time,Pittsburgh,Not Specified
29,https://careers.huntington.com/en-US/job/J3R0KN67DCNPV0YZLHL,OCR Performance Measurement Consultant ,2/1/2019,Full-Time,Akron,Not Specified
30,https://careers.huntington.com/en-US/job/J3M0G06P2LM2PL7TZCH,Assistant Branch Manager ,2/1/2019,Full-Time,Williamsburg,Not Specified
31,https://careers.huntington.com/en-US/job/J3S1K86NKQ8RTQZ4KJG,Consumer Loan Originator ,1/31/2019,Full-Time,Columbus,Not Specified
32,https://careers.huntington.com/en-US/job/J3N12C74FNWSRYR7GDQ,Business Analyst Sr. ,1/31/2019,Full-Time,Columbus,Not Specified
33,https://careers.huntington.com/en-US/job/J3S6JS6W8J67G21H615,Omni - Senior Business Analyst ,1/31/2019,Full-Time,Columbus,Not Specified
34,https://careers.huntington.com/en-US/job/J3W4QM6RR7R8PVTWN3R,Operations Customer Service Specialist II ,1/31/2019,Full-Time,Columbus,Not Specified
35,https://careers.huntington.com/en-US/job/J3Q44664J7P8FWM7RRJ,Omni - Senior Product Execution Manager ,1/31/2019,Full-Time,Columbus,Not Specified
36,https://careers.huntington.com/en-US/job/J3S0Z75YHHFL9J18YH5,Collateral Analyst-Asset Based Lending ,1/31/2019,Full-Time,Cleveland,Not Specified
37,https://careers.huntington.com/en-US/job/J3V22H6CWQKJ4ZFZ54X,Customer Service Associate - Customer Solution Center ,1/31/2019,Full-Time,Flint,Not Specified
38,https://careers.huntington.com/en-US/job/J3M19X5YTLVFT1CB87Q,Associate Director-Public Finance ,1/30/2019,Full-Time,San Antonio,Not Specified
39,https://careers.huntington.com/en-US/job/J3V2WK72JH0P374TBLT,CRE Relationship Manager ,1/30/2019,Full-Time,Melrose Park,Not Specified
40,https://careers.huntington.com/en-US/job/J3V6YG6QXXSQCCL1HZ4,Private Bank Relationship Mgr-Senior ,1/30/2019,Full-Time,Charleston,Not Specified
41,https://careers.huntington.com/en-US/job/J3W2HW6LR9KJ0RL414L,Digital Product Manager ,1/30/2019,Full-Time,Columbus,Not Specified
42,https://careers.huntington.com/en-US/job/J3T31Y6C682G9RVBG8Y,Commercial Relationship Mgr III ,1/30/2019,Full-Time,Cincinnati,Not Specified
43,https://careers.huntington.com/en-US/job/J3Q38Q70NTK0S1NV4FQ,Employee Benefits Senior Insurance Sales Executive ,1/30/2019,Full-Time,Birmingham,Not Specified
44,https://careers.huntington.com/en-US/job/J3T00B768GMM61TQQ58,Public Finance Analyst-Open to Any Location ,1/30/2019,Full-Time,Cleveland,Not Specified
45,https://careers.huntington.com/en-US/job/J3S7DX61W0L09XT13BQ,Trust Fund Specialist ,1/30/2019,Full-Time,Flint,Not Specified
46,https://careers.huntington.com/en-US/job/J3T37K5XPT27PWQPRR3,Asset Liability Management Analyst ,1/30/2019,Full-Time,Columbus,Not Specified
47,https://careers.huntington.com/en-US/job/J3S5LB6RCN8K6MN84YJ,Commercial Portfolio Manager ,1/30/2019,Full-Time,Bloomfield Hills,Not Specified
48,https://careers.huntington.com/en-US/job/J3W3T66GFNNN8SPJ8NP,IS Technical Specialist (Senior Salesforce Developer) ,1/30/2019,Full-Time,Columbus,Not Specified
49,https://careers.huntington.com/en-US/job/J3T1705VXD5L58ZV730,Recovery Collector ,1/30/2019,Full-Time,Columbus,Not Specified
50,https://careers.huntington.com/en-US/job/J3V87477753XN69CM2S,IT Internal Auditor: Information Security ,1/30/2019,Full-Time,Columbus,Not Specified
51,https://careers.huntington.com/en-US/job/J3V0NJ67RBRJGHBG873,Lockbox Processor ,1/29/2019,Full-Time,Indianapolis,Not Specified
52,https://careers.huntington.com/en-US/job/J3P1YY70KQN76HH89NC,National Account Sales Representative - Leasing ,1/29/2019,Full-Time,Newport Beach,Not Specified
53,https://careers.huntington.com/en-US/job/J3T3L55ZY02JRQDCTCB,Branch Relationship Banker IV ,1/29/2019,Full-Time,Northville Township,Not Specified
54,https://careers.huntington.com/en-US/job/J3V5TY730180RVF7GKY,Construction Projects Manager ,1/29/2019,Full-Time,Columbus,Not Specified
55,https://careers.huntington.com/en-US/job/J3P1906CM6D7VG19QL1,Business Banking Relationship Manager I ,1/29/2019,Full-Time,Indianapolis,Not Specified
56,https://careers.huntington.com/en-US/job/J3P7WS72TBPM1TWDR5S,Treasury Management Training Support Associate ,1/29/2019,Full-Time,Youngstown,Not Specified
57,https://careers.huntington.com/en-US/job/J3W5YR6FHH92MH5WQNN,SBA Business Loan Closing Coordinator ,1/28/2019,Full-Time,Columbus,Not Specified
58,https://careers.huntington.com/en-US/job/J3Q7NG644VN62RR5JVB,Business Banking Underwriter II ,1/28/2019,Full-Time,Columbus,Not Specified
59,https://careers.huntington.com/en-US/job/J3N1855X510V0M8BKDQ,Segment Risk Specialist Sr. ,1/28/2019,Full-Time,Columbus,Not Specified
60,https://careers.huntington.com/en-US/job/J3J1M1657WH7GB6Y29C,Private Banker ,1/28/2019,Full-Time,Cleveland,Not Specified
61,https://careers.huntington.com/en-US/job/J3S48Z6PWN4Z1XDBFL7,Facilities Manager II ,1/28/2019,Full-Time,Flint,Not Specified
62,https://careers.huntington.com/en-US/job/J3Q5FB72M9Z4H8VF0D7,Business Banking Relationship Manager 1 ,1/28/2019,Full-Time,Aurora,Not Specified
63,https://careers.huntington.com/en-US/job/J3Q6DH731L9ZB259BMV,Treasury Management Svcs Specialist 1.4951 ,1/28/2019,Full-Time,Columbus,Not Specified
64,https://careers.huntington.com/en-US/job/J3P3MR5ZNLT3L67JDZR,SBA Credit Delivery Leader ,1/28/2019,Full-Time,Columbus,Not Specified
65,https://careers.huntington.com/en-US/job/J3N7D95WMGW6R63YPQM,Segment Risk Specialist ,1/28/2019,Full-Time,Columbus,Not Specified
66,https://careers.huntington.com/en-US/job/J3N65K740GXW9BZRDNS,SBA Business Loan Closing Coordinator Sr. ,1/28/2019,Full-Time,Columbus,Not Specified
67,https://careers.huntington.com/en-US/job/J3R7WY71QX8KPJPW8X7,Trust Operations Section Manager 2 ,1/28/2019,Full-Time,Columbus,Not Specified
68,https://careers.huntington.com/en-US/job/J3T6DN6X65DX1JBLQL2,InfoSec Identity and Access Manager (IAM) ,1/28/2019,Full-Time,Columbus,Not Specified
69,https://careers.huntington.com/en-US/job/J3S38X6NFWT74GKLQYM,Business Banking Branch Loan Renewal Specialist ,1/28/2019,Full-Time,Columbus,Not Specified
70,https://careers.huntington.com/en-US/job/J3W78C6ZYZTPC9N1QSF,Relationship Banker III - Licensed ,1/28/2019,Full-Time,Columbus,Not Specified
71,https://careers.huntington.com/en-US/job/J3T3GV6JTPV4TYMWLGX,Process Administrator ,1/28/2019,Full-Time,Columbus,Not Specified
72,https://careers.huntington.com/en-US/job/J3W5L76HZDGWH0ZK8KD,SBA Business Development Officer SR ,1/28/2019,Full-Time,Chicago,Not Specified
73,https://careers.huntington.com/en-US/job/J3N5036QSC2T87MPMVM,Financial Advisor ,1/27/2019,Full-Time,Strongsville,Not Specified
74,https://careers.huntington.com/en-US/job/J3R7R465P8T08N0FJPN,Relationship Service Specialist ,1/27/2019,Full-Time,Cleveland,Not Specified
75,https://careers.huntington.com/en-US/job/J3N2PF76VNKGXX5BJ6Z,CRE Client Service Specialist Sr. ,1/27/2019,Full-Time,Columbus,Not Specified
76,https://careers.huntington.com/en-US/job/J3T6PT62J1CNW3QS1S1,Senior Java Developer ,1/27/2019,Full-Time,Columbus,Not Specified
77,https://careers.huntington.com/en-US/job/J3M3YQ6XZY1RY910JTW,"Auditor - Finance, Capital Planning, and Human Resources ",1/27/2019,Full-Time,Columbus,Not Specified
78,https://careers.huntington.com/en-US/job/J3V2SD63R6FRGY6B91D,Senior Insights Analyst ,1/25/2019,Full-Time,Columbus,Not Specified
79,https://careers.huntington.com/en-US/job/J3N0BM77W5JG95V133H,Treasury Management Services Specialist 1 ,1/25/2019,Part-Time,Akron,Not Specified
80,https://careers.huntington.com/en-US/job/J3N4JF6QR9WL8ND79C4,"Wealth Loan Officer - Bloomfield Hills, MI ",1/25/2019,Full-Time,Bloomfield Hills,Not Specified
81,https://careers.huntington.com/en-US/job/J3S1W466FGMP6D5RTJ0,Cyber Security Firewall Manager ,1/25/2019,Full-Time,Columbus,Not Specified
82,https://careers.huntington.com/en-US/job/J3P0JW6JYQ6ZV5PF2TK,Program Manager ,1/25/2019,Full-Time,Columbus,Not Specified
83,https://careers.huntington.com/en-US/job/J3W66J6Z98DYZKQ89RC,Credit Analyst Senior ,1/25/2019,Full-Time,Cincinnati,Not Specified
84,https://careers.huntington.com/en-US/job/J3M7MS6M5WT23MR55RR,Interest Rate Risk Manager ,1/25/2019,Full-Time,Columbus,Not Specified
85,https://careers.huntington.com/en-US/job/J3M6696YTXWM9G8ZKJN,Segment Risk Manager - Digital ,1/24/2019,Full-Time,Columbus,Not Specified
86,https://careers.huntington.com/en-US/job/J3N1XG6KZQ64WKFTGRK,Client Advisor Sr ,1/24/2019,Full-Time,Naples,Not Specified
87,https://careers.huntington.com/en-US/job/J3T40461LG2NXDLBBMV,Business Segment CIO ,1/24/2019,Full-Time,Columbus,Not Specified
88,https://careers.huntington.com/en-US/job/J3W6C76S8BWCNVSPK9F,Capital Markets Analytics Specialist Senior ,1/24/2019,Full-Time,Columbus,Not Specified
89,https://careers.huntington.com/en-US/job/J3R5R063V5D58R1RSD3,Commercial Portfolio Manager Senior ,1/24/2019,Full-Time,Cleveland,Not Specified
90,https://careers.huntington.com/en-US/job/J3R0T46M8DZDZG88D7L,Enterprise Fraud Specialist I ,1/24/2019,Full-Time,Columbus,Not Specified
91,https://careers.huntington.com/en-US/job/J3W0GK6G7XPBRPKJD1B,EUC OS Platform Engineer II ,1/24/2019,Full-Time,Columbus,Not Specified
92,https://careers.huntington.com/en-US/job/J3N0L56K7NZNF1SGFH4,Broker Dealer Compliance - Customer Complaints and Regulatory Response Specialist Senior ,1/24/2019,Full-Time,Columbus,Not Specified
93,https://careers.huntington.com/en-US/job/J3R4176WGQBRNLNH25K,Collateral Analyst ,1/24/2019,Full-Time,Cleveland,Not Specified
94,https://careers.huntington.com/en-US/job/J3T8G4718XJRF0495TR,Insurance Sales Executive ,1/24/2019,Full-Time,Indianapolis,Not Specified
95,https://careers.huntington.com/en-US/job/J3N74M6NHF8YD1RP7R3,Diversity & Inclusion Manager ,1/24/2019,Full-Time,Columbus,Not Specified
96,https://careers.huntington.com/en-US/job/J3R39576CYFS7M7Q2JY,Mass Affluent Sales Leader ,1/23/2019,Full-Time,Columbus,Not Specified
97,https://careers.huntington.com/en-US/job/J3T0X26L37X6C7MJXNV,Executive Administrative Assistant ,1/23/2019,Full-Time,Columbus,Not Specified
98,https://careers.huntington.com/en-US/job/J3P6XW78NNJMGQ06ZZ9,Senior Digital Analyst ,1/23/2019,Full-Time,Columbus,Not Specified
99,https://careers.huntington.com/en-US/job/J3M1WD6PM4L8ZNDVD0K,Private Bank Regional Director 2 ,1/23/2019,Full-Time,Cleveland,Not Specified
